gene_name	gene_ensembl	gene_type	Chr	Start	End	Strand
RP5-857K21.9	ENSG00000225972.1	unprocessed_pseudogene	chr1	629062	629433	+
RP5-857K21.8	ENSG00000225630.1	unprocessed_pseudogene	chr1	629640	630683	+
RP5-857K21.6	ENSG00000237973.1	unprocessed_pseudogene	chr1	631074	632616	+
MIR6723	ENSG00000278791.1	miRNA	chr1	632325	632413	-
RP5-857K21.7	ENSG00000229344.1	unprocessed_pseudogene	chr1	632757	633438	+
RP5-857K21.14	ENSG00000240409.1	unprocessed_pseudogene	chr1	633535	633741	+
RP5-857K21.10	ENSG00000248527.1	unprocessed_pseudogene	chr1	633696	634376	+
RP5-857K21.11	ENSG00000198744.5	unprocessed_pseudogene	chr1	634376	634922	+
RP5-857K21.12	ENSG00000268663.1	processed_pseudogene	chr1	674842	675265	+
OR4F16	ENSG00000284662.1	protein_coding	chr1	685679	686673	-
RP11-206L10.15	ENSG00000229376.3	processed_pseudogene	chr1	722092	724903	+
RP11-206L10.2	ENSG00000228327.3	transcribed_unprocessed_pseudogene	chr1	725885	778626	-
RNU6-1199P	ENSG00000223181.1	snRNA	chr1	758233	758336	-
RP11-206L10.4	ENSG00000229905.1	antisense	chr1	760911	761989	+
RP11-206L10.9	ENSG00000237491.8	lincRNA	chr1	778770	810060	+
RP11-206L10.18	ENSG00000285268.1	transcribed_processed_pseudogene	chr1	781937	782050	+
RP11-206L10.8	ENSG00000230092.7	transcribed_unprocessed_pseudogene	chr1	800879	817712	-
FAM87B	ENSG00000177757.2	lincRNA	chr1	817371	819837	+
RP11-206L10.11	ENSG00000228794.8	processed_transcript	chr1	825138	859446	+
NCRNA00115	ENSG00000225880.5	lincRNA	chr1	826206	827522	-
FAM41C	ENSG00000230368.2	lincRNA	chr1	868071	876903	-
TUBB8P11	ENSG00000234711.1	unprocessed_pseudogene	chr1	873292	874349	+
FAM166AP3	ENSG00000283040.1	transcribed_unprocessed_pseudogene	chr1	874529	877234	-
RP11-54O7.16	ENSG00000272438.1	lincRNA	chr1	904834	915976	+
RP11-54O7.1	ENSG00000230699.2	lincRNA	chr1	911435	914948	+
RP11-54O7.2	ENSG00000241180.1	lincRNA	chr1	914171	914971	+
RP11-54O7.3	ENSG00000223764.2	lincRNA	chr1	916865	921016	-
SAMD11	ENSG00000187634.11	protein_coding	chr1	923928	944581	+
NOC2L	ENSG00000188976.10	protein_coding	chr1	944204	959309	-
KLHL17	ENSG00000187961.13	protein_coding	chr1	960587	965715	+
PLEKHN1	ENSG00000187583.10	protein_coding	chr1	966497	975865	+
PERM1	ENSG00000187642.9	protein_coding	chr1	975204	982093	-
RP11-54O7.17	ENSG00000272512.1	lincRNA	chr1	995966	998051	-
HES4	ENSG00000188290.10	protein_coding	chr1	998962	1000172	-
ISG15	ENSG00000187608.8	protein_coding	chr1	1001138	1014541	+
RP11-54O7.10	ENSG00000231702.2	processed_pseudogene	chr1	1008076	1008229	-
RP11-54O7.11	ENSG00000224969.1	antisense	chr1	1011997	1013193	-
AGRN	ENSG00000188157.14	protein_coding	chr1	1020123	1056118	+
RP11-54O7.14	ENSG00000242590.1	sense_intronic	chr1	1055033	1056116	+
RP11-465B22.3	ENSG00000217801.9	transcribed_unprocessed_pseudogene	chr1	1059734	1069355	+
RP11-54O7.18	ENSG00000273443.1	lincRNA	chr1	1062208	1063288	-
RNF223	ENSG00000237330.2	protein_coding	chr1	1070966	1074307	-
C1orf159	ENSG00000131591.17	protein_coding	chr1	1081818	1116361	-
RP11-465B22.5	ENSG00000223823.1	lincRNA	chr1	1137017	1144056	+
MIR200B	ENSG00000207730.3	miRNA	chr1	1167104	1167198	+
MIR200A	ENSG00000207607.3	miRNA	chr1	1167863	1167952	+
MIR429	ENSG00000198976.1	miRNA	chr1	1169005	1169087	+
RP11-465B22.8	ENSG00000272141.1	lincRNA	chr1	1169357	1170343	+
RP11-465B22.6	ENSG00000205231.1	antisense	chr1	1173056	1179555	-
TTLL10	ENSG00000162571.13	protein_coding	chr1	1173884	1197935	+
TNFRSF18	ENSG00000186891.13	protein_coding	chr1	1203508	1206691	-
TNFRSF4	ENSG00000186827.10	protein_coding	chr1	1211326	1214138	-
SDF4	ENSG00000078808.16	protein_coding	chr1	1216908	1232031	-
B3GALT6	ENSG00000176022.4	protein_coding	chr1	1232265	1235041	+
C1QTNF12	ENSG00000184163.3	protein_coding	chr1	1242446	1246722	-
RP5-902P8.12	ENSG00000260179.1	lincRNA	chr1	1249777	1251334	-
UBE2J2	ENSG00000160087.20	protein_coding	chr1	1253909	1273885	-
RP5-902P8.10	ENSG00000230415.1	lincRNA	chr1	1275223	1280420	+
SCNN1D	ENSG00000162572.20	protein_coding	chr1	1280436	1292029	+
ACAP3	ENSG00000131584.18	protein_coding	chr1	1292376	1309609	-
MIR6726	ENSG00000278073.1	miRNA	chr1	1296110	1296170	-
PUSL1	ENSG00000169972.11	protein_coding	chr1	1308567	1311677	+
INTS11	ENSG00000127054.20	protein_coding	chr1	1311585	1324691	-
MIR6727	ENSG00000283712.1	miRNA	chr1	1312502	1312566	-
RP5-890O3.9	ENSG00000240731.1	sense_intronic	chr1	1317581	1318689	-
CPTP	ENSG00000224051.6	protein_coding	chr1	1324756	1328897	+
TAS1R3	ENSG00000169962.4	protein_coding	chr1	1331314	1335306	+
DVL1	ENSG00000107404.19	protein_coding	chr1	1335276	1349350	-
MIR6808	ENSG00000284372.1	miRNA	chr1	1339650	1339708	-
MXRA8	ENSG00000162576.16	protein_coding	chr1	1352689	1361777	-
AURKAIP1	ENSG00000175756.13	protein_coding	chr1	1373730	1375495	-
RP5-890O3.3	ENSG00000223663.2	processed_pseudogene	chr1	1378666	1379032	+
CCNL2	ENSG00000221978.11	protein_coding	chr1	1385711	1399328	-
RP4-758J18.2	ENSG00000224870.6	processed_transcript	chr1	1399522	1402046	+
MRPL20	ENSG00000242485.5	protein_coding	chr1	1401908	1407313	-
RN7SL657P	ENSG00000264293.2	misc_RNA	chr1	1405460	1405752	-
RP4-758J18.13	ENSG00000272455.1	lincRNA	chr1	1409096	1410618	+
ANKRD65	ENSG00000235098.8	protein_coding	chr1	1418420	1421769	-
RP4-758J18.7	ENSG00000225905.1	antisense	chr1	1420245	1422691	+
TMEM88B	ENSG00000205116.3	protein_coding	chr1	1426128	1427787	+
RP4-758J18.10	ENSG00000225285.1	lincRNA	chr1	1430539	1434573	-
VWA1	ENSG00000179403.11	protein_coding	chr1	1434861	1442882	+
ATAD3C	ENSG00000215915.9	protein_coding	chr1	1449689	1470158	+
ATAD3B	ENSG00000160072.19	protein_coding	chr1	1471769	1497848	+
RP5-832C2.8	ENSG00000284740.1	transcribed_unprocessed_pseudogene	chr1	1503250	1509452	+
ATAD3A	ENSG00000197785.13	protein_coding	chr1	1512151	1534687	+
TMEM240	ENSG00000205090.8	protein_coding	chr1	1535174	1540453	-
SSU72	ENSG00000160075.11	protein_coding	chr1	1541673	1574869	-
RP5-832C2.5	ENSG00000215014.4	lincRNA	chr1	1574975	1577075	+
RP11-345P4.11	ENSG00000274481.1	processed_pseudogene	chr1	1583510	1583909	-
C1orf233	ENSG00000228594.3	protein_coding	chr1	1598012	1600096	-
RP11-345P4.9	ENSG00000272106.1	antisense	chr1	1613758	1615795	-
MIB2	ENSG00000197530.12	protein_coding	chr1	1615415	1630610	+
MMP23B	ENSG00000189409.13	protein_coding	chr1	1632095	1635263	+
CDK11B	ENSG00000248333.8	protein_coding	chr1	1635227	1659012	-
RP11-345P4.10	ENSG00000272004.1	antisense	chr1	1659325	1662602	+
SLC35E2B	ENSG00000189339.11	protein_coding	chr1	1659529	1692728	-
RP11-345P4.6	ENSG00000269737.2	transcribed_processed_pseudogene	chr1	1671990	1674397	+
MMP23A	ENSG00000215914.4	unprocessed_pseudogene	chr1	1699942	1701782	+
CDK11A	ENSG00000008128.22	protein_coding	chr1	1702730	1724324	-
RP1-283E3.8	ENSG00000268575.1	processed_transcript	chr1	1702736	1737688	-
RP1-283E3.4	ENSG00000227775.3	transcribed_processed_pseudogene	chr1	1724512	1737251	+
SLC35E2	ENSG00000215790.7	protein_coding	chr1	1724838	1745999	-
NADK	ENSG00000008130.15	protein_coding	chr1	1751232	1780457	-
GNB1	ENSG00000078369.17	protein_coding	chr1	1785285	1891117	-
RP1-140A9.1	ENSG00000231050.1	antisense	chr1	1891471	1892658	+
CALML6	ENSG00000169885.9	protein_coding	chr1	1914827	1917296	+
TMEM52	ENSG00000178821.12	protein_coding	chr1	1917590	1919273	-
CFAP74	ENSG00000142609.18	protein_coding	chr1	1921951	2003837	-
RP11-547D24.1	ENSG00000233542.1	antisense	chr1	2013213	2015530	-
GABRD	ENSG00000187730.8	protein_coding	chr1	2019298	2030758	+
RP11-547D24.3	ENSG00000226969.1	antisense	chr1	2049203	2050070	-
PRKCZ	ENSG00000067606.16	protein_coding	chr1	2050470	2185395	+
RP5-892K4.1	ENSG00000271806.1	antisense	chr1	2141084	2145279	-
RP11-181G12.2	ENSG00000182873.5	antisense	chr1	2181794	2184389	-
FAAP20	ENSG00000162585.16	protein_coding	chr1	2184461	2212720	-
RP11-181G12.4	ENSG00000234396.3	lincRNA	chr1	2212523	2220738	+
SKI	ENSG00000157933.9	protein_coding	chr1	2228695	2310119	+
MORN1	ENSG00000116151.13	protein_coding	chr1	2321253	2391707	-
RP4-713A8.1	ENSG00000272161.1	sense_intronic	chr1	2326201	2326693	-
RP4-740C4.5	ENSG00000269896.2	transcribed_processed_pseudogene	chr1	2350414	2352820	-
RP4-740C4.7	ENSG00000272420.1	sense_intronic	chr1	2363061	2363628	-
RER1	ENSG00000157916.19	protein_coding	chr1	2391775	2405444	+
PEX10	ENSG00000157911.9	protein_coding	chr1	2403964	2413797	-
PLCH2	ENSG00000149527.17	protein_coding	chr1	2425980	2505530	+
RP3-395M20.2	ENSG00000224387.1	antisense	chr1	2492300	2493258	-
RP3-395M20.3	ENSG00000229393.1	antisense	chr1	2493437	2494479	-
PANK4	ENSG00000157881.13	protein_coding	chr1	2508533	2526628	-
HES5	ENSG00000197921.5	protein_coding	chr1	2528745	2530245	-
RP3-395M20.12	ENSG00000272449.2	lincRNA	chr1	2530064	2547460	+
RP3-395M20.8	ENSG00000238164.6	antisense	chr1	2549920	2557031	-
TNFRSF14	ENSG00000157873.17	protein_coding	chr1	2555639	2565382	+
RP3-395M20.7	ENSG00000225931.3	TEC	chr1	2566410	2569888	+
RP3-395M20.9	ENSG00000228037.1	lincRNA	chr1	2581560	2584533	+
FAM213B	ENSG00000157870.14	protein_coding	chr1	2586491	2591469	+
MMEL1	ENSG00000142606.15	protein_coding	chr1	2590639	2632990	-
RP13-436F16.1	ENSG00000237058.1	antisense	chr1	2632568	2636620	+
TTC34	ENSG00000215912.12	protein_coding	chr1	2635976	2801717	-
ABC14-1188822O7.1	ENSG00000283259.1	antisense	chr1	2773603	2776473	+
RP11-740P5.2	ENSG00000233234.1	lincRNA	chr1	2811850	2812692	-
RP11-740P5.3	ENSG00000231630.1	lincRNA	chr1	2814432	2814998	-
RP5-907A6.1	ENSG00000284745.1	lincRNA	chr1	2960658	2968707	-
ACTRT2	ENSG00000169717.6	protein_coding	chr1	3021483	3022903	+
RP1-163G9.1	ENSG00000177133.10	antisense	chr1	3059615	3068437	-
PRDM16	ENSG00000142611.16	protein_coding	chr1	3069168	3438621	+
MIR4251	ENSG00000283572.1	miRNA	chr1	3127975	3128035	+
RP1-163G9.2	ENSG00000226286.1	antisense	chr1	3132927	3133709	-
RP11-193J6.1	ENSG00000279839.1	TEC	chr1	3205988	3208664	+
RP11-22L13.1	ENSG00000272235.1	lincRNA	chr1	3306636	3310096	-
ARHGEF16	ENSG00000130762.14	protein_coding	chr1	3454426	3481113	+
RP11-168F9.2	ENSG00000272088.1	lincRNA	chr1	3487246	3487627	+
MEGF6	ENSG00000162591.15	protein_coding	chr1	3489920	3611495	-
MIR551A	ENSG00000207776.1	miRNA	chr1	3560695	3560790	-
RP11-46F15.2	ENSG00000238260.1	antisense	chr1	3623190	3624743	-
TPRG1L	ENSG00000158109.14	protein_coding	chr1	3625002	3630127	+
WRAP73	ENSG00000116213.15	protein_coding	chr1	3630767	3652761	-
TP73	ENSG00000078900.14	protein_coding	chr1	3652520	3736201	+
RP5-1092A11.5	ENSG00000227589.1	antisense	chr1	3658938	3668772	-
RP5-1092A11.2	ENSG00000235131.1	antisense	chr1	3712200	3714298	-
TP73-AS1	ENSG00000227372.11	transcribed_unitary_pseudogene	chr1	3735601	3747336	-
RF02197	ENSG00000276189.1	misc_RNA	chr1	3736943	3737103	+
CCDC27	ENSG00000162592.9	protein_coding	chr1	3746460	3771645	+
SMIM1	ENSG00000235169.8	protein_coding	chr1	3772761	3775982	+
LRRC47	ENSG00000130764.9	protein_coding	chr1	3778558	3796504	-
RN7SL574P	ENSG00000266075.2	misc_RNA	chr1	3782815	3783111	+
RP1-286D6.5	ENSG00000272153.1	antisense	chr1	3785008	3785538	+
CEP104	ENSG00000116198.12	protein_coding	chr1	3812081	3857214	-
DFFB	ENSG00000169598.15	protein_coding	chr1	3857267	3885429	+
C1orf174	ENSG00000198912.10	protein_coding	chr1	3889125	3900293	-
RP13-15E13.1	ENSG00000236423.5	lincRNA	chr1	3900372	3917225	+
RP13-614K11.1	ENSG00000233304.6	lincRNA	chr1	3940565	3955262	+
RP13-614K11.2	ENSG00000226374.2	lincRNA	chr1	3944547	3948980	-
RP11-718D19.1	ENSG00000284668.1	lincRNA	chr1	3976133	4012699	+
RP11-718D19.2	ENSG00000284703.1	lincRNA	chr1	4012921	4019508	-
RP11-374C13.1	ENSG00000229280.1	processed_pseudogene	chr1	4175528	4175899	-
RP5-1166F10.1	ENSG00000235054.3	lincRNA	chr1	4412027	4424689	+
RP5-1166F10.2	ENSG00000284694.1	lincRNA	chr1	4479131	4484375	-
RP1-37J18.1	ENSG00000227169.2	lincRNA	chr1	4551735	4552145	-
RP1-37J18.2	ENSG00000232596.2	lincRNA	chr1	4571481	4594009	+
AJAP1	ENSG00000196581.10	protein_coding	chr1	4654732	4792534	+
RP4-603B14.2	ENSG00000284739.1	lincRNA	chr1	4963954	4973298	-
RP4-603B14.1	ENSG00000284674.1	lincRNA	chr1	4973381	4981568	+
RP11-542C10.1	ENSG00000231510.1	lincRNA	chr1	5086459	5090899	-
RP4-703E10.1	ENSG00000284616.1	lincRNA	chr1	5301928	5307394	-
RP1-58B11.2	ENSG00000284692.1	lincRNA	chr1	5478736	5493057	-
RP1-58B11.3	ENSG00000284666.1	lincRNA	chr1	5480787	5482028	-
RP1-58B11.1	ENSG00000260972.1	lincRNA	chr1	5492978	5494674	+
RP3-491M17.1	ENSG00000283356.1	unprocessed_pseudogene	chr1	5554747	5554881	+
RP11-154H17.1	ENSG00000236948.2	lincRNA	chr1	5561709	5668295	-
MIR4417	ENSG00000264341.1	miRNA	chr1	5564071	5564143	+
MIR4689	ENSG00000264101.1	miRNA	chr1	5862672	5862741	-
NPHP4	ENSG00000131697.17	protein_coding	chr1	5862811	5992473	-
KCNAB2	ENSG00000069424.14	protein_coding	chr1	5991466	6101193	+
CHD5	ENSG00000116254.17	protein_coding	chr1	6101793	6180123	-
RPL22	ENSG00000116251.9	protein_coding	chr1	6181269	6209389	-
RP1-120G22.11	ENSG00000226944.1	antisense	chr1	6204840	6205780	-
RNF207	ENSG00000158286.12	protein_coding	chr1	6205475	6221299	+
ICMT	ENSG00000116237.15	protein_coding	chr1	6221193	6235972	-
LINC00337	ENSG00000225077.2	lincRNA	chr1	6236240	6239444	+
HES3	ENSG00000173673.7	protein_coding	chr1	6244192	6245578	+
GPR153	ENSG00000158292.6	protein_coding	chr1	6247346	6260975	-
ACOT7	ENSG00000097021.19	protein_coding	chr1	6264269	6394391	-
RP1-202O8.3	ENSG00000271746.1	antisense	chr1	6393555	6394391	+
HES2	ENSG00000069812.11	protein_coding	chr1	6412418	6424670	-
ESPN	ENSG00000187017.16	protein_coding	chr1	6424776	6461367	+
MIR4252	ENSG00000265392.1	miRNA	chr1	6429834	6429896	-
RP1-202O8.2	ENSG00000231868.1	antisense	chr1	6443034	6447006	-
TNFRSF25	ENSG00000215788.9	protein_coding	chr1	6461151	6466195	-
PLEKHG5	ENSG00000171680.21	protein_coding	chr1	6466092	6520061	-
NOL9	ENSG00000162408.10	protein_coding	chr1	6521347	6554535	-
RNU6-731P	ENSG00000253022.1	snRNA	chr1	6540854	6540964	+
RP11-58A11.2	ENSG00000229519.2	processed_pseudogene	chr1	6547905	6548619	+
TAS1R1	ENSG00000173662.20	protein_coding	chr1	6555181	6579757	+
ZBTB48	ENSG00000204859.12	protein_coding	chr1	6580001	6589280	+
KLHL21	ENSG00000162413.16	protein_coding	chr1	6590724	6614607	-
PHF13	ENSG00000116273.5	protein_coding	chr1	6613685	6624033	+
THAP3	ENSG00000041988.15	protein_coding	chr1	6624866	6635586	+
DNAJC11	ENSG00000007923.15	protein_coding	chr1	6634168	6701924	-
RP11-242F24.1	ENSG00000228750.6	lincRNA	chr1	6724637	6730012	+
RP11-242F24.2	ENSG00000284744.1	lincRNA	chr1	6767954	6770038	+
RP11-312B8.1	ENSG00000237436.1	antisense	chr1	6783892	6784843	-
CAMTA1	ENSG00000171735.18	protein_coding	chr1	6785324	7769706	+
RP11-312B8.2	ENSG00000227950.1	processed_pseudogene	chr1	6834333	6834618	-
RP11-334N17.1	ENSG00000237365.1	antisense	chr1	7008376	7014279	-
RNU1-8P	ENSG00000207056.1	snRNA	chr1	7219360	7219524	+
RP3-453P22.1	ENSG00000237402.1	sense_intronic	chr1	7368942	7370270	+
RP3-453P22.2	ENSG00000237728.2	antisense	chr1	7382487	7389754	-
RP4-549F15.1	ENSG00000225126.1	antisense	chr1	7441096	7441554	-
RP11-338N10.1	ENSG00000270171.1	lincRNA	chr1	7693124	7694844	-
RP11-338N10.2	ENSG00000270035.1	lincRNA	chr1	7698303	7698872	-
RP11-338N10.3	ENSG00000269978.1	lincRNA	chr1	7700704	7700970	-
VAMP3	ENSG00000049245.12	protein_coding	chr1	7771269	7781432	+
RP3-467L1.6	ENSG00000269925.1	sense_intronic	chr1	7776383	7776775	+
PER3	ENSG00000049246.14	protein_coding	chr1	7784320	7845177	+
RP3-467L1.4	ENSG00000236266.1	antisense	chr1	7810242	7827342	-
UTS2	ENSG00000049247.13	protein_coding	chr1	7843083	7853512	-
TNFRSF9	ENSG00000049249.8	protein_coding	chr1	7915894	7943165	-
RP5-892F13.2	ENSG00000270330.1	processed_pseudogene	chr1	7942372	7942726	+
PARK7	ENSG00000116288.12	protein_coding	chr1	7954291	7985505	+
RF00019	ENSG00000200344.1	misc_RNA	chr1	7982881	7982983	-
CTA-215D11.6	ENSG00000284747.1	antisense	chr1	7991134	8005312	+
CTA-215D11.5	ENSG00000284716.1	lincRNA	chr1	7998187	7999934	-
ERRFI1	ENSG00000116285.12	protein_coding	chr1	8004404	8026308	-
RP11-431K24.1	ENSG00000238290.1	lincRNA	chr1	8026738	8122702	+
CTA-215D11.4	ENSG00000232848.1	processed_pseudogene	chr1	8057245	8058463	-
RP11-431K24.2	ENSG00000229305.1	processed_pseudogene	chr1	8189824	8192770	+
RP11-431K24.3	ENSG00000227634.2	lincRNA	chr1	8202429	8215210	+
RNU1-7P	ENSG00000200975.1	snRNA	chr1	8206434	8206597	-
RP11-431K24.4	ENSG00000233645.1	lincRNA	chr1	8218190	8220529	-
RNU6-991P	ENSG00000251977.1	snRNA	chr1	8292157	8292263	-
SLC45A1	ENSG00000162426.14	protein_coding	chr1	8317826	8344167	+
RF00019	ENSG00000252254.1	misc_RNA	chr1	8328067	8328179	+
RERE	ENSG00000142599.17	protein_coding	chr1	8352397	8817643	-
RP5-1115A15.1	ENSG00000232912.5	antisense	chr1	8424645	8434838	+
RF00599	ENSG00000221083.1	snoRNA	chr1	8511795	8511919	-
RP5-1115A15.2	ENSG00000270282.1	processed_pseudogene	chr1	8512653	8513021	+
RP4-633I8.1	ENSG00000234619.1	processed_pseudogene	chr1	8750430	8751087	+
RP4-633I8.2	ENSG00000224315.2	processed_pseudogene	chr1	8786211	8786913	-
RF00019	ENSG00000222511.2	misc_RNA	chr1	8796571	8796673	-
RP4-633I8.3	ENSG00000226545.1	unprocessed_pseudogene	chr1	8798475	8799506	+
RP4-633I8.4	ENSG00000228423.2	lincRNA	chr1	8805860	8807051	-
RP11-185B14.1	ENSG00000229716.2	processed_pseudogene	chr1	8831007	8831375	+
ENO1	ENSG00000074800.14	protein_coding	chr1	8861000	8879250	-
MIR6728	ENSG00000274258.1	miRNA	chr1	8866502	8866590	-
RP3-477M7.3	ENSG00000230679.1	antisense	chr1	8878835	8879894	+
RNU6-304P	ENSG00000201725.1	snRNA	chr1	8883427	8883533	-
RP3-477M7.4	ENSG00000238249.2	processed_pseudogene	chr1	8893409	8894151	+
RP3-477M7.5	ENSG00000232208.2	processed_pseudogene	chr1	8907393	8907744	-
RP3-477M7.6	ENSG00000232663.2	processed_pseudogene	chr1	8909742	8909904	+
CA6	ENSG00000131686.14	protein_coding	chr1	8945867	8975092	+
RN7SL451P	ENSG00000265141.2	misc_RNA	chr1	8979576	8979874	-
SLC2A7	ENSG00000197241.3	protein_coding	chr1	9003300	9026345	-
SLC2A5	ENSG00000142583.17	protein_coding	chr1	9035107	9088478	-
RF00424	ENSG00000252404.1	scaRNA	chr1	9082696	9082879	+
GPR157	ENSG00000180758.11	protein_coding	chr1	9100305	9129170	-
MIR34AHG	ENSG00000228526.7	lincRNA	chr1	9148011	9198906	-
MIR34A	ENSG00000284357.1	miRNA	chr1	9151668	9151777	-
RP3-510D11.2	ENSG00000234546.3	lincRNA	chr1	9182004	9196284	+
H6PD	ENSG00000049239.12	protein_coding	chr1	9234775	9271337	+
SPSB1	ENSG00000171621.13	protein_coding	chr1	9292880	9369532	+
CTD-2510L9.2	ENSG00000284652.1	lincRNA	chr1	9421098	9422862	-
CTD-2510L9.1	ENSG00000284693.1	lincRNA	chr1	9425094	9440564	-
RNA5SP40	ENSG00000252956.1	rRNA	chr1	9437669	9437778	-
RP13-392I16.1	ENSG00000235263.1	lincRNA	chr1	9501092	9503471	-
SLC25A33	ENSG00000171612.6	protein_coding	chr1	9539482	9585179	+
RP13-15M17.1	ENSG00000231181.1	processed_pseudogene	chr1	9576427	9576985	+
TMEM201	ENSG00000188807.12	protein_coding	chr1	9588922	9614873	+
PIK3CD	ENSG00000171608.15	protein_coding	chr1	9651732	9729114	+
C1orf200	ENSG00000179840.5	antisense	chr1	9652610	9654586	-
RP11-558F24.2	ENSG00000233268.3	processed_pseudogene	chr1	9660828	9662626	-
RP11-558F24.4	ENSG00000231789.2	antisense	chr1	9672426	9687555	-
CLSTN1	ENSG00000171603.16	protein_coding	chr1	9729026	9824526	-
RP11-558F24.6	ENSG00000271264.1	processed_pseudogene	chr1	9780822	9781240	+
RP11-84A14.7	ENSG00000280113.2	TEC	chr1	9826289	9828271	-
CTNNBIP1	ENSG00000178585.14	protein_coding	chr1	9848276	9910336	-
RP11-84A14.5	ENSG00000223989.1	antisense	chr1	9848318	9850154	+
LZIC	ENSG00000162441.11	protein_coding	chr1	9922113	9943407	-
RP11-84A14.4	ENSG00000228150.1	sense_intronic	chr1	9942923	9949974	+
NMNAT1	ENSG00000173614.13	protein_coding	chr1	9943428	9985501	+
RN7SKP269	ENSG00000202415.1	misc_RNA	chr1	9947318	9947636	+
RP11-84A14.6	ENSG00000283611.2	unitary_pseudogene	chr1	9950572	9960787	-
MIR5697	ENSG00000265521.1	miRNA	chr1	9967381	9967458	+
RP11-807G9.2	ENSG00000241326.1	sense_intronic	chr1	9983141	9984568	+
RBP7	ENSG00000162444.11	protein_coding	chr1	9997206	10016020	+
UBE4B	ENSG00000130939.18	protein_coding	chr1	10032832	10181239	+
RP11-496H15.2	ENSG00000224340.1	processed_pseudogene	chr1	10054445	10054781	-
RP11-496H15.3	ENSG00000233623.2	processed_pseudogene	chr1	10058671	10059648	+
RNU6-828P	ENSG00000201746.1	snRNA	chr1	10163268	10163374	+
KIF1B	ENSG00000054523.17	protein_coding	chr1	10210805	10381603	+
MIR1273D	ENSG00000264881.1	miRNA	chr1	10227718	10227803	+
RNU6-37P	ENSG00000199562.1	snRNA	chr1	10298966	10299072	+
RN7SL731P	ENSG00000264501.2	misc_RNA	chr1	10306465	10306757	+
RP4-736L20.4	ENSG00000284735.1	lincRNA	chr1	10381906	10387150	-
RP4-736L20.5	ENSG00000284642.1	lincRNA	chr1	10395416	10397432	+
PGD	ENSG00000142657.20	protein_coding	chr1	10398592	10420144	+
RP4-736L20.3	ENSG00000271989.1	antisense	chr1	10429881	10430677	-
APITD1-CORT	ENSG00000251503.8	protein_coding	chr1	10430102	10452153	+
CENPS	ENSG00000175279.21	protein_coding	chr1	10430443	10442809	+
CORT	ENSG00000241563.3	protein_coding	chr1	10449719	10451902	+
DFFA	ENSG00000160049.11	protein_coding	chr1	10456522	10472526	-
RP5-1113E3.3	ENSG00000203469.2	antisense	chr1	10458555	10459338	+
PEX14	ENSG00000142655.12	protein_coding	chr1	10472288	10630758	+
